,task_id,total_tasks,combo_index,beta,alpha,rho,strength,kappa,tau,cov_type,monte_carlo_runs,mc_batch_size,mse_runs,mean_mse,std_mse,mean_e_TF,std_e_TF,mean_e_ICL,std_e_ICL,mean_e_IDG,std_e_IDG,mean_diff,std_diff
40,2,16,37,0.1111111111111111,67.38038050841725,0.5,0.0,0.5,2.0,identity,10,1,"[13.492177173495293, 13.161601424217224, 14.084624864161015, 13.915244318544865, 13.194456905126572, 13.549269422888756, 12.958902142941952, 13.29340435564518, 13.424866043031216, 13.76439619064331]",13.483894284069539,0.33660037060011994,13.49584307465472,0.19392315126524065,13.688648509979249,0.20093837292407446,1.0361737608909607,0.006658107511220051,-0.03660204336047172,0.007365137402419457
41,2,16,38,0.1111111111111111,82.08555324076049,0.5,0.0,0.5,2.0,identity,10,1,"[15.150527037680149, 16.349389150738716, 15.733046114444733, 14.907211549580097, 15.857655696570873, 16.318996757268906, 16.18185918033123, 15.947332426905632, 16.310082785785198, 16.267349414527416]",15.902345011383295,0.4836587235660019,15.964607150043236,0.34911828485773616,16.203660488128662,0.35954349406787234,1.0302981853485107,0.006934315388037897,-0.05172787755727768,0.015691684285532827
42,3,16,39,0.1111111111111111,100.0,0.5,0.0,0.5,2.0,identity,10,1,"[17.819729447364807, 18.67718556523323, 18.04071906208992, 19.71764750778675, 19.363510251045227, 18.85887461155653, 19.20014353096485, 18.15379413217306, 19.60489922016859, 20.032381556928158]",18.946888488531112,0.7241664104839945,19.186997547948064,0.39950365783282854,19.469539833068847,0.40421846445398757,1.030548131465912,0.008384395205903408,-0.05490041226148605,0.009541047895487856
43,3,16,40,0.2222222222222222,2.35,0.5,0.0,0.5,2.0,identity,10,1,"[2.467160186730325, 2.41276238206774, 2.413882943801582, 2.544812220148742, 2.489095076918602, 2.53649721108377, 2.4233147017657757, 2.4807227794080973, 2.451903118751943, 2.3469112487509847]",2.456706186942756,0.05729073308901276,2.451924989277635,0.02807443694576754,2.511260414123535,0.02840959033083235,1.4546032786369323,0.009862603636508285,-0.0071548255626112224,0.0010648784087999188
44,3,16,41,0.2222222222222222,2.8628667374724848,0.5,0.0,0.5,2.0,identity,10,1,"[2.384354691952467, 2.4391354136168957, 2.423546097241342, 2.579068336635828, 2.5248083751648664, 2.4310724157840014, 2.4702884182333946, 2.4862314611673355, 2.456231577321887, 2.50446536205709]",2.4699202149175106,0.05338710886268347,2.4950140588709875,0.02448842537056225,2.559796166419983,0.026247883647606312,1.395562744140625,0.010946692323837803,-0.007289099041372538,0.0017187989683091242
45,3,16,42,0.2222222222222222,3.4876621091601483,0.5,0.0,0.5,2.0,identity,10,1,"[2.6264180578291416, 2.5432082507759333, 2.478230571374297, 2.5181919457390904, 2.5235318522900343, 2.6387587413191795, 2.5462376587092876, 2.5973027907311916, 2.5865267533808947, 2.5743145290762186]",2.563272115122527,0.04800286083789661,2.560822715430325,0.021694547689152886,2.6329514265060423,0.023024058266185653,1.3426990151405334,0.009462884092689253,-0.008412542613223195,0.0012105033314260079
46,3,16,43,0.2222222222222222,4.248813550577753,0.5,0.0,0.5,2.0,identity,10,1,"[2.6159547343850136, 2.724487466737628, 2.6005268562585115, 2.687650766223669, 2.5045306030660868, 2.6092835254967213, 2.6317950412631035, 2.6906895749270916, 2.6360975485295057, 2.6875292360782623]",2.6388545352965593,0.05978158714377078,2.647948103858572,0.025141487587984533,2.727199411392212,0.026035572559641916,1.2916234254837036,0.010684729025723818,-0.008358666254207493,0.0015454147490293337
47,3,16,44,0.2222222222222222,5.176079569221879,0.5,0.0,0.5,2.0,identity,10,1,"[2.7818838581442833, 2.829614482820034, 3.01886342279613, 2.8288336601108313, 2.826217383146286, 2.8302601538598537, 2.705013146623969, 2.854780375957489, 2.861490558832884, 2.857617249712348]",2.8394574292004107,0.07422678699484762,2.79437345970583,0.03347206456662193,2.884785199165344,0.03593083393301618,1.2586520433425903,0.009105370199792708,-0.010108867567032576,0.001623494988826576
48,3,16,45,0.2222222222222222,6.305713203930309,0.5,0.0,0.5,2.0,identity,10,1,"[2.9741778448224068, 3.036928329616785, 3.0908372960984707, 2.9194696079939604, 2.872686766088009, 2.9294646847993135, 2.81939809769392, 2.884324161335826, 2.9464620649814606, 2.8896969854831696]",2.9363445838913322,0.07646033357900464,2.9297901096886,0.03434354823572647,3.029207134246826,0.035495384459294864,1.2172358155250549,0.006535025383419887,-0.009936959436163306,0.0022740572803440283
49,3,16,46,0.2222222222222222,7.68187939896729,0.5,0.0,0.5,2.0,identity,10,1,"[3.0313312262296677, 3.2422278597950935, 3.054704522714019, 3.103154171258211, 3.1069826390594244, 3.2045921310782433, 3.037189517170191, 3.241805402562022, 3.1398911848664284, 3.085839482024312]",3.1247718136757614,0.07596274949226062,3.125981370535576,0.03945118193010154,3.240999436378479,0.041994628178420666,1.1802841067314147,0.008430699219310028,-0.01325434586033225,0.0020137175825088575
